,,,,,
№ п/п,Наименование работ,Этапы работ (краткое описание),Рефересные файлы,Статус,Комментарии
2.1.,"Дообучение модели keypoint detection
  (ml-инженер senior)",Расширение датасета: разметка дополнительных изображений с 21 анатомической точкой; запуск Active Learning pipeline,"korovas/; specs/collector-vis-config.md (plugin keypoint_korovas)",красный,Импорт/отображение keypoints в админке есть; дообучение и Active Learning — вне репо
,,Дообучение YOLOv11-Pose на расширенном датасете; валидация: цель PCK@0.1 ≥ 0.85; A/B-сравнение версий модели; анализ ошибок;,"korovas/; specs/collector-vis-config.md",красный,Не реализовано в data-collector
2.2.,Разработка модулей глубины и визуальной оценки,,,красный,
2.2.1.,"Бенчмарк depth-моделей и алгоритм расчёта 15 измерений
  (ml-инженер lead)","Сравнительное тестирование depth-моделей: Depth Anything V2, Metric3D v2 (ViT-giant), ZoeDepth; выбор оптимальной по метрике","specs/collector-vis-config.md (plugin depth_map); django_server/api/management/commands/import_depth_map.py",красный,Хранение и просмотр depth в админке; бенчмарк моделей и 15 измерений — вне репо
,,Интеграция depth-модели в пайплайн; метрическая калибровка через intrinsic-параметры камеры; оптимизация инференса,"specs/07-package-payload-structure.md (§ camera intrinsics)",жёлтый,Intrinsics камеры в payload пакета собираются; depth-инференс в пайплайне — нет
,,Реализация геометрических алгоритмов расчёта 15 линейных параметров из keypoints + depth map; валидация,,красный,Не в репозитории
2.2.2.,"Разработка VLM-модуля (9 экспертных оценок экстерьера) 
 (ml-инженер senior)",Валидация VLM-модуля: сравнение оценок системы с оценками экспертов-бонитёров (100–200 изображений); анализ расхождений; итерации промптов; цель: Cohen's Kappa ≥ 0.80; ведение лога экспериментов,,красный,Не в репозитории
2.3.,Сборка E2E пайплайна,,,красный,
2.3.1.,"Сбор E2E пайплайна для оценки расстояния между заданными кейпоинтами
 (ml-инженер lead)","Анализ ошибок текущего пайплайна, исправления известных проблем (точки за пределами маски животного)","cowmetric/; korovas/; specs/collector-vis-config.md",красный,Смежные каталоги в репо; E2E пайплайн не интегрирован в data-collector
,,Итерация улучшения с анализом ошибок после обновления всех моделей и сбора дополнительных данных,,красный,Не в репозитории
3 Этап,"Разработка мобильного приложения и бэкенда
  (параллельно с этапом 2)",,,жёлтый,Платформа сбора и приёма данных готова; доменная бонитировка — частично
3.1.,"Разработка мобильного приложения
 (ml-инженер senior)","Настройка Flutter/React Native проекта: архитектура, зависимости, навигация, локализация (русский язык); экраны авторизации","specs/04-tech-stack-architecture.md; lib/main.dart; lib/l10n/; pubspec.yaml",зелёный,Flutter + Riverpod + GoRouter + RU/EN + Firebase login
,,"Модуль карточки животного: создание, редактирование, экран создания сессии бонитировки","specs/02-data-models-schema.md; specs/config/09-project-json-builder-guide.md",жёлтый,Вместо карточки животного — универсальный сбор по JSON-конфигу проекта
,,"Модуль камеры: автоматическая оценка качества кадра в реальном времени (освещённость, резкость); визуальная обратная связь оператору","lib/core/quality/; specs/07-package-payload-structure.md",жёлтый,Анализ качества изображения есть; не полный real-time гид по освещённости
,,Извлечение intrinsic-параметров камеры: focal length + sensor size; логирование fallback-случаев; тестирование на ≥10 устройствах разных производителей,"specs/07-package-payload-structure.md; lib/core/device/",жёлтый,frame_camera / camera_session в materializer; формальные тесты на 10+ устройствах не зафиксированы
,,"Chunked upload с автоматическим retry и resume; фоновая загрузка; экран ожидания обработки, офлайн-режим: локальное сохранение, очередь синхронизации","specs/06-upload-lifecycle.md; specs/08-server-api-package-upload.md; lib/features/sync/server_sync_tab.dart",жёлтый,Офлайн-сбор и blob-by-blob upload + вкладка «Сервер»; chunked/resume/фон (workmanager) — нет
3.2.,Разработка бэкенда приема данных и админ-панели,,,жёлтый,
3.2.1.,"Разработка Backend API
 (Python-инженер senior)","Настройка юзеров: авторизации, аутентификации, прав доступа, ролей","specs/08-server-api-package-upload.md (§12); specs/git-backed-projects.md; django_server/README.md; specs/main-scheme/04-auth-firebase-django.drawio; specs/main-scheme/05-admin-roles-access.drawio",зелёный,Firebase + CollectorUser; staff и client-admin; фильтр проектов по M2M
,,"Upload API: chunked upload, resume upload, валидация форматов/размеров; хранение и экспорт результатов в БД","specs/08-server-api-package-upload.md; specs/06-upload-lifecycle.md; specs/project-storage-uris.md; django_server/api/project_db.py",зелёный,POST/PUT blobs/manifest/commit; per-project SQLAlchemy + fsspec; не tus/chunked внутри файла
,,Визуализация собранного мобильным приложением пакета на странице пакета,"specs/collector-vis-config.md; django_server/README.md; specs/03-user-journey-screens.md (§6)",зелёный,Workspace: Данные / Медиа / Визуализация / Changelog; viz.json + плагины
,,Генератор протоколов бонитировки: PDF + JSON; возможность ручной корректировки зоотехником с фиксацией факта изменения; история протоколов по животному,,красный,Не реализовано; есть правка манифеста пакета и field changelog
3.2.2.,"Экраны результатов и административная панель
 (Python-инженер senior)","Экран результатов бонитировки: отображение 15 измерений, 9 экспертных оценок, итогового класса животного; просмотр PDF протокола; возможность корректировки зоотехником",specs/collector-vis-config.md,жёлтый,Визуализация ML-слоёв в админке; экран бонитировки с 15+9 метриками и PDF — нет
,,"Административная: управление справочниками (породы, нормативы измерений, шкалы оценок, атлас 21 анатомической точки); управление пользователями и хозяйствами","specs/git-backed-projects.md; django_server/README.md; specs/09-server-project-config-delivery.md",жёлтый,Проекты (Git), пользователи Firebase, пакеты; справочники пород/нормативов — нет
3.2.3.,"Коннектор АИС «Монолит»
 (Devops-инженер)",Согласование форматов API с операторами АИС «Монолит»; получение тестовых доступов к средам интеграции; фиксация API-спецификаций,,красный,Вне scope data-collector
,,Разработка двустороннего коннектора: получение карточек животных при создании записи; автоматическая передача результатов бонитировки в карточку животного,,красный,Не реализовано
,,Интеграционное тестирование с тестовой средой АИС «Монолит»: верификация полноты и корректности данных; цель: успешная передача ≥99% протоколов; логирование запросов и ответов; retry при временных сбоях,,красный,Не реализовано
4 Этап,Разработка интеграций с АИС «Монолит»,,,красный,Этап не начат в этом репозитории
4.1.,"Деплой production и мониторинг
 (Devops-инженер)",Продукционизация инференс пайплайна,,красный,ML-инференс вне data-collector
,,Настройка GPU-сервера для ML-инференса; нагрузочное тестирование,,красный,Не в репозитории
,,Полное интеграционное тестирование приложения и бэкенда,"README.md (§ Продакшен); specs/01-overview.md",жёлтый,Django+Flutter задеплоены на epoch8.dev; формальное E2E-тестирование не описано
5 Этап,"Испытания, сбор данных и ввод в опытную эксплуатацию",,,красный,Испытания и опытная эксплуатация — вне репозитория
5.1.,"Предварительные испытания
 (Python-инженер senior)","Функциональное тестирование всех компонентов по ПМИ на стендовых данных; проверка граничных условий: некачественные фото, отключение сети",test_dev/README.md,жёлтый,test_dev для Postgres/S3; автотесты ПМИ — нет
,,Тестирование мобильного приложения на ≥10 устройствах (Android и iOS разных производителей); верификация работы модуля камеры и intrinsic-параметров; проверка офлайн-режима и chunked upload,"docs/web-vs-android.md; specs/06-upload-lifecycle.md",жёлтый,Android + Web; iOS в репо; массовое device-тестирование не задокументировано
,,Нагрузочное тестирование серверной части; проверка целевых метрик; оформление акта предварительных испытаний,,красный,Не в репозитории
5.2.,"Сбор данных и дообучение ML-моделей
 (ml-инженер senior)","Сбор реальных данных с мобильных устройств в хозяйствах Заказчика: ≥100 животных, разные породы и возрастные группы; стандартизация и подготовка датасета","specs/08-server-api-package-upload.md; specs/07-package-payload-structure.md",жёлтый,Платформа приёма пакетов готова; сбор 100+ животных — операционная задача
,,Дообучение ML-моделей на реальных мобильных данных; повторная валидация метрик; сравнение с baseline;,,красный,Вне репозитория
5.3.,"Опытная эксплуатация в хозяйствах
 (Python-инженер senior)",Развёртывание системы на площадках Заказчика; инструктаж операторов-животноводов; сопровождение опытной эксплуатации в течение ≥4 недель,README.md,жёлтый,Прод-инстанс есть; сопровождение в репо не фиксируется
,,Сравнение результатов автоматической бонитировки с эталонной оценкой зоотехника; сбор замечаний пользователей; оценка удобства интерфейса; устранение выявленных дефектов; оформление отчёта об опытной эксплуатации,specs/todo,жёлтый,Backlog багов и доработок в specs/todo; отчёт ОЭ — нет
5.4.,"Приёмочные испытания и ввод в действие
 (Python-инженер senior)",Приёмочные испытания по ПМИ: функциональные (ФИ) и технические (ТИ); проверка всех критериев приёмки ТЗ; оформление протоколов и акта ввода системы в опытную эксплуатацию,,красный,Не в репозитории
,,"Подготовка пакета передаточной документации: финальные версии обученных ML-моделей, база эталонных данных, конфигурации развёртывания; передача Заказчику",specs/; README.md; django_server/README.md,жёлтый,Техспеки и README есть; ML-артефакты и акт приёмки — нет
,,"Разработка рекомендаций по дальнейшему развитию системы: масштабирование на новые породы, регионы, хозяйства; план дообучения ML по мере накопления данных",specs/todo; specs/05-stage-1-mvp.md,жёлтый,Backlog в specs/todo; формальный план развития — нет
6 Этап,Подготовка документации и финального отчёта,,,жёлтый,
6.1.,"Эксплуатационная документация
 (технический писатель)","Руководство пользователя мобильного приложения: скриншоты всех экранов, разделы «Типовые ошибки съёмки» и «Часто задаваемые вопросы»; написано для пользователей без технической подготовки",lib/features/help/,жёлтый,Встроенная вкладка «Справка»; полноценное РП с скриншотами — нет
,,"Инструкция по съёмке (ракурсы, освещение, расстояние, позиционирование животного)","specs/config/09-project-json-builder-guide.md; assets/config/",жёлтый,Инструкции задаются в config (instruction + media); отдельной PDF-инструкции нет
,,"Руководство администратора: управление справочниками, пользователями, ML-моделями; инструкция по развёртыванию серверной части; описание REST API","django_server/README.md; specs/08-server-api-package-upload.md; specs/09-server-project-config-delivery.md; specs/git-backed-projects.md",жёлтый,README и спеки API/админки; справочники и ML-модели в админке — не все
6.2.,"Техническая ML-документация
 (технический писатель)","Описание алгоритмов ML-ядра: архитектуры моделей, параметры обучения, метрики валидации; атлас 21 анатомической точки",korovas/; specs/collector-vis-config.md,красный,Только формат визуализации keypoints; ML-документация — вне data-collector
,,"Описание форматов данных: датасет разметки, структура API, форматы протоколов бонитировки (PDF/JSON); документация по Active Learning pipeline","specs/07-package-payload-structure.md; specs/02-data-models-schema.md; specs/08-server-api-package-upload.md",жёлтый,Форматы пакета и API описаны; протоколы бонитировки и AL — нет
6.3.,"Финальный отчёт по системе
 (технический писатель)",Отчёт о результатах испытаний; отчёт о точности ML-моделей; сравнение с требованиями ТЗ,,красный,Не в репозитории
,,"Финальный отчёт: анализ ошибок, достигнутые метрики vs. плановые, выводы, план дальнейшего развития и масштабирования системы",specs/todo; specs/01-overview.md (§6),жёлтый,Обзор и backlog есть; итоговый отчёт по ТЗ — нет
